================================================================
TRACKER: Quant_IDQE.tkr
WINDOW: 100B
================================================================
=== Run Configuration Info ===
File:                 Quant_IDQE.tkr
record:               True
Supports:             TruthInTheFlip.v0.1.1
Tracker Version:      1.1.0
Total Flips:          8,903,800,000,000
Start Time:           7/30/2026 8:05:05 PM UTC
End Time:             8/27/2026 3:15:14 PM UTC
Segment Mode:         total
Segment Size:         100,000,000,000 flips
Grade:                all
Whole:                True

[Options]

window method:  WindowByTotal(default)          //Creates a bounding function that defines a window based on a maximum number of total flips.
Values:         window=def="100000000000"

print format:  Detailed          //Detailed telemetry including underlying PRNG drift (ZHeads).
Values:         None
==============================

Quant_IDQE.tkr : 20260827_151514.93 | 8903800000000 flips → heads: 50-1.4e-05% (Z:-0.0898) | a: 50+4.0e-05% (Z:+0.2543) | aHeads: 50+5.4e-05% | aTails: 50+2.6e-05% | aSame: 50+2.7e-04% | aDiff: 50-1.9e-04% | [RATE] H/T: 50+2.6e-05%/ 50+5.4e-05% S/D: 50+2.7e-04%/ 50-1.9e-04% | wallclock: 27.19:03:03 | fps: 3707780 | Z(1.96) in 18.05:29:37 | Z(3.00) in 43.03:00:32

segments              : 89
Edge Excursion Score  : +0.645307   // median(best TrueZ per segment)
Edge Settlement Score : -0.771293   // mean(end TrueZ per segment)
Edge Persistence Index: -0.401991   // settlement * fraction positive

Adjusted Anticipation Geometry:
avgBestTrueZ          : +0.615651
medianBestTrueZ       : +0.645307
avgEndTrueZ           : -0.771293
medianEndTrueZ        : -0.594426
avgMeanTrueZ          : -0.773836

bestTrueZ >= 1.96     :   6.7416%
bestTrueZ >= 3.00     :   1.1236%
endTrueZ  >= 0.00     :  20.2247%
endTrueZ  >= 1.96     :   0.0000%
meanTrueZ >= 0.00     :  14.6067%

Anticipation Path:
avgMeanA               : 50+5.09730e-08%
avgEndA                : 50+1.95510e-06%
medianEndA             : 50-1.23100e-06%
avgPctAAtLeast50       :  52.1192%
endA >= 50.00          :  49.4382%

Underlying Heads:
avgMeanZHeads          : -0.194951
avgEndZHeads           : -0.197321
medianEndZHeads        : -0.226590
avgPctZHeadsAbove0     :  39.3360%
endZHeads >= 0.00      :  39.3258%
|endZHeads| >= 1.96    :   4.4944%
corrMeanZHeadsMeanTrueZ: -0.002046
corrEndZHeadsEndTrueZ  : -0.065057
corrMeanAMeanZHeads    : -0.064467
corrEndAEndZHeads      : -0.187678
corrMeanAMeanTrueZ     : +0.874057
corrEndAEndTrueZ       : +0.840108

idx | span                  | bestTrueZ | aBest            | endTrueZ  | meanTrueZ | endA             | meanA            | endZH     | meanZH    | %a>=50  | %ZH>=0
----+-----------------------+-----------+------------------+-----------+-----------+------------------+------------------+-----------+-----------+---------+---------
  0 | 200,000,000..99,800,… | +1.875639 |  50+2.65450e-03% | -3.430367 | -2.496369 |  50-3.53037e-04% |  50-3.54350e-04% | -1.199799 | +0.037846 |   3.206% |  51.102%
  1 | 100,000,000,000..199… | +0.921532 |  50+2.63387e-04% | +0.784846 | -1.413588 |  50+2.72021e-04% |  50-2.08075e-05% | -0.935566 | -1.281989 |  45.800% |   0.000%
  2 | 200,000,000,000..299… | +1.279761 |  50+3.06364e-04% | -1.791822 | -1.104179 |  50-7.90910e-05% |  50+6.94048e-05% | -1.291607 | -1.543134 |  71.600% |   0.000%
  3 | 300,000,000,000..399… | +0.701716 |  50+2.21901e-04% | +0.543931 | -0.536327 |  50+1.83522e-04% |  50+5.49036e-05% | -0.616764 | -0.883568 |  69.000% |   0.000%
  4 | 400,000,000,000..499… | +0.516476 |  50+1.55803e-04% | -1.701634 | -0.780673 |  50+1.39250e-05% |  50-1.04406e-05% | +1.789704 | +0.526551 |  46.600% |  75.000%
  5 | 500,000,000,000..599… | +2.003385 |  50+3.58635e-04% | -0.029820 | +0.440296 |  50+3.11120e-05% |  50+1.41504e-04% | -0.226590 | +0.425842 |  98.400% |  87.200%
  6 | 600,000,000,000..699… | +0.162415 |  50+3.51420e-05% | -3.767702 | -1.734951 |  50-3.21631e-04% |  50-9.66636e-05% | +1.733529 | +1.120734 |  23.800% |  99.000%
  7 | 700,000,000,000..799… | +0.451927 |  50+8.60640e-05% | -0.409648 | -1.164561 |  50+2.41579e-04% |  50-6.97949e-05% | -1.937528 | -0.121861 |  46.600% |  50.600%
  8 | 800,000,000,000..899… | +1.322559 |  50+3.12587e-04% | +1.158538 | -0.281037 |  50+2.89351e-04% |  50+1.94834e-04% | -0.671478 | -1.513276 | 100.000% |   0.000%
  9 | 900,000,000,000..999… | +1.994657 |  50+3.39059e-04% | -0.091017 | +0.540128 |  50+8.64390e-05% |  50+1.53961e-04% | -0.637705 | -0.379409 | 100.000% |  17.000%
 10 | 1,000,000,000,000..1… | +1.965033 |  50+3.21952e-04% | -0.538024 | +0.547449 |  50-2.10150e-05% |  50+1.38962e-04% | +0.405113 | -0.025762 |  92.400% |  52.600%
 11 | 1,100,000,000,000..1… | +0.521080 |  50+8.83360e-05% | -0.462066 | -0.531867 |  50-3.99780e-05% |  50-4.16101e-05% | -0.209223 | +0.019939 |  23.000% |  52.600%
