================================================================
TRACKER: Quant.tkr
WINDOW: default / 100B
================================================================
=== Run Configuration Info ===
File:                 /data/jwc/Documents/Trackers/Quant.tkr
record:               True
Supports:             TruthInTheFlip.v0.1.1
Tracker Version:      1.1.0
Total Flips:          8,903,400,000,000
Start Time:           7/15/2026 9:33:24 PM UTC
End Time:             7/25/2026 3:48:02 AM UTC
Segment Mode:         total
Segment Size:         100,000,000,000 flips
Grade:                all
Whole:                True

[Options]

window method:  WindowByTotal(default)          //Creates a bounding function that defines a window based on a maximum number of total flips.
Values:         window=def="100000000000"

print format:  Detailed          //Detailed telemetry including underlying PRNG drift (ZHeads).
Values:         None
==============================

Quant.tkr : 20260725_034802.65 | 8903400000000 flips → heads: 50+2.6e-05% (Z:+0.1634) | a: 50+1.1e-04% (Z:+0.7017) | aHeads: 50+8.5e-05% | aTails: 50+1.4e-04% | aSame: 50+4.3e-04% | aDiff: 50-2.1e-04% | [RATE] H/T: 50+1.4e-04%/ 50+8.5e-05% S/D: 50+4.3e-04%/ 50-2.1e-04% | wallclock: 9.06:11:32 | fps: 11130745 | Z(1.96) in 16:58:23 | Z(3.00) in 1.19:06:55

segments              : 89
Edge Excursion Score  : +0.401426   // median(best TrueZ per segment)
Edge Settlement Score : -0.920284   // mean(end TrueZ per segment)
Edge Persistence Index: -0.383004   // settlement * fraction positive

Adjusted Anticipation Geometry:
avgBestTrueZ          : +0.383116
medianBestTrueZ       : +0.401426
avgEndTrueZ           : -0.920284
medianEndTrueZ        : -0.995049
avgMeanTrueZ          : -0.967614

bestTrueZ >= 1.96     :   4.4944%
bestTrueZ >= 3.00     :   3.3708%
endTrueZ  >= 0.00     :  23.5955%
endTrueZ  >= 1.96     :   1.1236%
meanTrueZ >= 0.00     :  13.4831%

Anticipation Path:
avgMeanA               : 50-2.10422e-05%
avgEndA                : 50-2.23320e-05%
medianEndA             : 50-5.00780e-05%
avgPctAAtLeast50       :  41.6180%
endA >= 50.00          :  40.4494%

Underlying Heads:
avgMeanZHeads          : -0.005895
avgEndZHeads           : -0.008002
medianEndZHeads        : +0.035645
avgPctZHeadsAbove0     :  51.3094%
endZHeads >= 0.00      :  51.6854%
|endZHeads| >= 1.96    :   7.8652%
corrMeanZHeadsMeanTrueZ: +0.192722
corrEndZHeadsEndTrueZ  : +0.255668
corrMeanAMeanZHeads    : +0.180743
corrEndAEndZHeads      : +0.268929
corrMeanAMeanTrueZ     : +0.902737
corrEndAEndTrueZ       : +0.856071

idx | span                  | bestTrueZ | aBest            | endTrueZ  | meanTrueZ | endA             | meanA            | endZH     | meanZH    | %a>=50  | %ZH>=0
----+-----------------------+-----------+------------------+-----------+-----------+------------------+------------------+-----------+-----------+---------+---------
  0 | 200,000,000..99,800,… | +1.854053 |  50+1.24823e-03% | +1.205572 | +0.447868 |  50+2.37233e-04% |  50+2.80432e-04% | +0.293323 | +0.275978 | 100.000% |  68.938%
  1 | 100,000,000,000..199… | +1.635979 |  50+2.62399e-04% | -0.451206 | +0.698521 |  50-3.01700e-05% |  50+1.86988e-04% | +0.260395 | +0.394992 |  92.800% |  74.800%
  2 | 200,000,000,000..299… | -0.456266 |  50-2.13900e-05% | -2.778636 | -2.361501 |  50-3.54308e-04% |  50-2.78987e-04% | +0.537796 | +0.576736 |   0.000% |  93.400%
  3 | 300,000,000,000..399… | +0.373079 |  50+1.07122e-04% | +0.260951 | -1.259283 |  50+1.25816e-04% |  50-9.53631e-05% | +0.534779 | -0.492636 |  17.000% |  24.800%
  4 | 400,000,000,000..499… | +0.187295 |  50+1.17145e-04% | -2.123836 | -1.597097 |  50-7.53920e-05% |  50+2.70214e-05% | +1.647015 | +1.767996 |  62.800% | 100.000%
  5 | 500,000,000,000..599… | +0.405878 |  50+8.47460e-05% | +0.184196 | -0.513369 |  50+6.96300e-05% |  50+2.91317e-05% | +0.256182 | +0.697614 |  64.600% | 100.000%
  6 | 600,000,000,000..699… | +0.665331 |  50+1.26110e-04% | -1.841084 | -1.397804 |  50-1.58584e-04% |  50-1.15740e-04% | -0.838111 | -0.465284 |  20.200% |  26.000%
  7 | 700,000,000,000..799… | -1.205454 |  50-1.83419e-04% | -3.435385 | -2.107550 |  50-3.02969e-04% |  50-2.51347e-04% | -1.519240 | -0.378998 |   0.000% |  26.200%
  8 | 800,000,000,000..899… | +1.323350 |  50+3.21211e-04% | +0.907371 | -0.810241 |  50+2.55065e-04% |  50+1.28292e-04% | -0.705801 | -1.621628 |  67.800% |   0.000%
  9 | 900,000,000,000..999… | +1.725908 |  50+3.44906e-04% | -1.010955 | -0.037434 |  50+5.25040e-05% |  50+7.24039e-05% | +1.343019 | -0.014046 |  61.600% |  51.200%
 10 | 1,000,000,000,000..1… | +0.425447 |  50+1.49748e-04% | -0.472520 | -0.564383 |  50-9.54200e-06% |  50+3.12749e-05% | -0.412171 | +0.743411 |  75.800% |  94.400%
 11 | 1,100,000,000,000..1… | -0.315855 |  50-4.52400e-05% | -1.007660 | -1.109137 |  50-1.46604e-04% |  50-1.09119e-04% | -0.080455 | +0.063740 |   0.000% |  53.200%
 12 | 1,200,000,000,000..1… | -0.250579 |  50-3.61470e-05% | -1.628004 | -1.564084 |  50-8.14320e-05% |  50-1.27374e-04% | -1.112983 | -0.639439 |   0.000% |  22.400%
 13 | 1,300,000,000,000..1… | -0.376937 |  50+2.73700e-06% | -2.061748 | -1.277830 |  50-2.27169e-04% |  50-6.74311e-05% | -0.625005 | -0.851224 |  12.600% |   0.200%
 14 | 1,400,000,000,000..1… | +0.364478 |  50+7.89370e-05% | -0.499741 | -1.226051 |  50-1.14530e-05% |  50-1.38433e-04% | +0.427306 | +0.071750 |  17.600% |  55.000%
 15 | 1,500,000,000,000..1… | +1.122881 |  50+2.15233e-04% | +0.312623 | -0.039235 |  50+1.19304e-04% |  50+8.41773e-05% | -0.441922 | -0.453961 |  90.800% |  18.400%
 16 | 1,600,000,000,000..1… | +0.531073 |  50+8.54880e-05% | -0.684766 | -0.484401 |  50-2.60230e-05% |  50-3.80803e-05% | -0.520182 | -0.119823 |  30.200% |  37.200%
 17 | 1,700,000,000,000..1… | -0.569539 |  50-1.72560e-05% | -1.165805 | -1.529531 |  50+1.31000e-06% |  50-4.36313e-05% | -1.174090 | -1.253583 |  11.200% |   0.000%
 18 | 1,800,000,000,000..1… | +0.454849 |  50+3.61244e-04% | -0.995049 | -0.905459 |  50+1.77508e-04% |  50+1.59156e-04% | -2.117708 | -1.912048 |  99.800% |   0.000%
 19 | 1,900,000,000,000..1… | +0.679966 |  50+1.07740e-04% | -1.283486 | -0.694219 |  50-8.83540e-05% |  50+5.77398e-06% | +0.724687 | -0.322435 |  56.800% |  51.200%
 20 | 2,000,000,000,000..2… | -1.306033 |  50-1.02586e-04% | -2.094237 | -2.187687 |  50-2.54054e-04% |  50-2.25892e-04% | -0.487459 | -0.320144 |   0.000% |  30.800%
 21 | 2,100,000,000,000..2… | +1.140273 |  50+5.06386e-04% | +0.916947 | -0.444326 |  50+4.82169e-04% |  50+1.70041e-04% | +2.132558 | +1.403702 |  78.800% |  87.000%
 22 | 2,200,000,000,000..2… | +1.255209 |  50+2.69157e-04% | -1.465254 | +0.164250 |  50-1.72038e-04% |  50+1.36287e-04% | +0.377190 | +0.625029 |  64.400% |  72.000%
 23 | 2,300,000,000,000..2… | -0.460453 |  50-4.84440e-05% | -0.941986 | -1.675115 |  50-1.37967e-04% |  50-1.14102e-04% | -0.069406 | +0.952910 |   0.000% |  99.400%
 24 | 2,400,000,000,000..2… | +0.576964 |  50+1.05684e-04% | -0.859109 | -0.838484 |  50-9.59010e-05% |  50-7.04703e-05% | +0.252577 | +0.259172 |  25.200% |  74.200%
 25 | 2,500,000,000,000..2… | -0.101288 |  50+5.90200e-06% | -1.491102 | -1.150937 |  50-1.54236e-04% |  50-1.31636e-04% | -0.515628 | -0.027524 |   1.400% |  54.600%
 26 | 2,600,000,000,000..2… | -1.391782 |  50-1.57031e-04% | -1.960347 | -2.415343 |  50-1.68524e-04% |  50-1.98926e-04% | -0.894507 | -1.157227 |   0.000% |   0.000%
 27 | 2,700,000,000,000..2… | -0.058553 |  50+2.01211e-04% | -0.940923 | -1.250005 |  50+1.57676e-04% |  50+2.34140e-05% | +1.938154 | +1.174509 |  63.200% |  79.400%
 28 | 2,800,000,000,000..2… | +0.066673 |  50+1.76183e-04% | -2.031371 | -1.852311 |  50-3.15910e-05% |  50-6.75780e-05% | -1.831572 | -0.698585 |  24.200% |  30.000%
 29 | 2,900,000,000,000..2… | +1.095103 |  50+2.19950e-04% | -0.706971 | -0.659106 |  50+7.15480e-05% |  50+5.63793e-05% | +1.159481 | -0.585095 |  69.000% |  30.200%
 30 | 3,000,000,000,000..3… | +0.550243 |  50+1.90659e-04% | +0.083743 | -0.655992 |  50+8.94860e-05% |  50+1.35540e-04% | +0.482216 | +1.513225 | 100.000% | 100.000%
 31 | 3,100,000,000,000..3… | +0.805325 |  50+1.51927e-04% | -0.687884 | -0.609170 |  50-7.84570e-05% |  50-6.79922e-06% | +0.191678 | +0.564235 |  45.600% |  97.800%
 32 | 3,200,000,000,000..3… | -0.433156 |  50-6.58780e-05% | -2.068895 | -1.236810 |  50-2.06871e-04% |  50-1.51520e-04% | +0.760528 | -0.104387 |   0.000% |  30.400%
 33 | 3,300,000,000,000..3… | -1.090119 |  50-1.60545e-04% | -4.908690 | -3.026320 |  50-3.51910e-04% |  50-3.01854e-04% | -2.683016 | -0.912307 |   0.000% |  16.800%
 34 | 3,400,000,000,000..3… | +0.811377 |  50+1.67458e-04% | +0.656571 | -2.168979 |  50+1.56235e-04% |  50-7.46118e-05% | -0.331546 | -1.697092 |  50.800% |   0.000%
 35 | 3,500,000,000,000..3… | +3.500148 |  50+5.81612e-04% | +3.269991 | +1.922725 |  50+5.68589e-04% |  50+3.48627e-04% | +0.326081 | +0.207012 | 100.000% |  78.200%
 36 | 3,600,000,000,000..3… | +3.366188 |  50+6.17980e-04% | -0.044797 | +1.589000 |  50+8.99600e-06% |  50+3.43218e-04% | -0.101693 | +0.534801 |  98.200% |  90.400%
 37 | 3,700,000,000,000..3… | +0.336182 |  50+7.31710e-05% | -0.595583 | -0.318810 |  50+5.65010e-05% |  50+8.12285e-06% | +0.952927 | -0.041973 |  68.000% |  45.200%
 38 | 3,800,000,000,000..3… | -0.352183 |  50-3.38040e-05% | -1.703121 | -1.219481 |  50-2.58567e-04% |  50-1.17774e-04% | +0.067799 | +0.325301 |   8.600% |  64.200%
 39 | 3,900,000,000,000..3… | -0.620053 |  50+6.51000e-05% | -1.099486 | -1.598392 |  50-2.72580e-05% |  50-9.19927e-05% | +0.927091 | +1.016530 |  14.800% |  99.800%
 40 | 4,000,000,000,000..4… | -0.248492 |  50-2.40360e-05% | -1.852899 | -1.441353 |  50-9.37810e-05% |  50-6.39489e-05% | -1.259776 | -0.907388 |   2.000% |  13.200%
 41 | 4,100,000,000,000..4… | -0.877127 |  50-3.17200e-05% | -1.862771 | -2.073669 |  50-3.38590e-05% |  50-8.82470e-05% | -1.648628 | -1.515546 |   0.000% |   0.000%
